#Date;Inv;Psum;Pmax
31/07/15;0;6700;1173
31/07/15;1;6460;1138
31/07/15;2;4060;698
30/07/15;0;7760;1306
30/07/15;1;7440;1278
30/07/15;2;4670;798
29/07/15;0;4710;1294
29/07/15;1;4510;1245
29/07/15;2;2870;771
28/07/15;0;5830;1190
28/07/15;1;5580;1145
28/07/15;2;3540;714
27/07/15;0;7850;1160
27/07/15;1;7550;1125
27/07/15;2;4720;705
26/07/15;0;6780;1058
26/07/15;1;6520;1013
26/07/15;2;4120;636
25/07/15;0;7270;1210
25/07/15;1;7000;1133
25/07/15;2;4360;704
24/07/15;0;6610;1217
24/07/15;1;6330;1175
24/07/15;2;3950;737
23/07/15;0;8380;1178
23/07/15;1;8030;1138
23/07/15;2;5000;709
22/07/15;0;5810;1193
22/07/15;1;5540;1146
22/07/15;2;3480;705
21/07/15;0;7410;1024
21/07/15;1;7090;986
21/07/15;2;4450;624
20/07/15;0;6440;1090
20/07/15;1;6190;1050
20/07/15;2;3860;652
19/07/15;0;8310;1083
19/07/15;1;7980;1044
19/07/15;2;4960;650
18/07/15;0;8180;1056
18/07/15;1;7850;1023
18/07/15;2;4900;641
17/07/15;0;6390;1108
17/07/15;1;6170;1064
17/07/15;2;3820;662
16/07/15;0;7180;1205
16/07/15;1;6870;1165
16/07/15;2;4260;720
15/07/15;0;8130;1087
15/07/15;1;7810;1048
15/07/15;2;4870;656
14/07/15;0;8590;1092
14/07/15;1;8220;1052
14/07/15;2;5120;658
13/07/15;0;6230;1163
13/07/15;1;5950;1112
13/07/15;2;3760;677
12/07/15;0;8330;1075
12/07/15;1;8020;1036
12/07/15;2;5010;648
11/07/15;0;8780;1076
11/07/15;1;8430;1042
11/07/15;2;5270;655
10/07/15;0;9240;1088
10/07/15;1;8890;1058
10/07/15;2;5550;658
09/07/15;0;8390;1210
09/07/15;1;8040;1171
09/07/15;2;5000;725
08/07/15;0;4970;1070
08/07/15;1;4750;1039
08/07/15;2;2970;643
07/07/15;0;7980;1053
07/07/15;1;7650;1013
07/07/15;2;4770;636
06/07/15;0;8510;1024
06/07/15;1;8170;989
06/07/15;2;5080;618
05/07/15;0;8020;1031
05/07/15;1;7730;997
