"Date","Pioggia (mm)","","Temp. aria (�C)","","Umid.relat. aria (%)","","Dir. Vento (�)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
00:00:00 01/10/2012,        12.8,      1,        17.7,      1,        90.2,      1,         325,      1,         1.2,      1,       989.9,      1,     11074.6,      1
00:00:00 02/10/2012,         0.0,      1,        18.3,      1,        84.4,      1,         317,      1,         1.1,      1,       989.9,      1,     13670.0,      1
00:00:00 03/10/2012,         0.0,      1,        17.8,      1,        78.0,      1,         225,      1,         1.8,      1,       991.2,      1,     13886.0,      1
00:00:00 04/10/2012,         0.0,      1,        16.9,      1,        80.3,      1,         144,      1,         1.3,      1,       990.1,      1,      9256.8,      1
00:00:00 05/10/2012,         0.0,      1,        16.7,      1,        80.6,      1,         237,      1,         1.2,      1,       993.2,      1,     13350.6,      1
00:00:00 06/10/2012,         0.0,      1,        17.3,      1,        83.0,      1,         222,      1,         1.2,      1,       992.7,      1,     13054.2,      1
00:00:00 07/10/2012,         0.0,      1,        17.9,      1,        79.5,      1,         326,      1,         0.9,      1,       987.6,      1,      9386.0,      1
00:00:00 08/10/2012,         0.0,      1,        16.1,      1,        60.1,      1,         314,      1,         2.1,      1,       990.7,      1,     12113.0,      1
00:00:00 09/10/2012,         2.2,      1,        16.1,      1,        80.5,      1,         280,      1,         0.9,      1,       985.1,      1,     10109.0,      1
00:00:00 10/10/2012,         5.0,      1,        15.1,      1,        92.0,      1,         317,      1,         1.0,      1,       984.5,      1,      6179.1,      1
00:00:00 11/10/2012,         0.0,      1,        14.9,      1,        87.5,      1,          31,      1,         0.7,      1,       985.1,      1,      4451.5,      1
00:00:00 12/10/2012,         0.4,      1,        15.8,      1,        82.9,      1,         330,      1,         1.4,      1,       983.9,      1,     12515.3,      1
00:00:00 13/10/2012,         2.2,      1,        13.9,      1,        91.8,      1,         330,      1,         1.2,      1,       986.2,      1,      4978.0,      1
00:00:00 14/10/2012,         1.4,      1,        13.8,      1,        92.3,    140,         327,      1,         0.7,      1,       980.8,      1,      5453.3,      1
00:00:00 15/10/2012,        50.2,      1,        10.5,      1,        98.6,    140,         333,      1,         2.4,      1,       979.0,      1,      1016.1,      1
00:00:00 16/10/2012,         0.0,      1,         9.9,      1,        78.4,      1,         326,      1,         2.3,      1,       985.2,      1,     11652.9,      1
00:00:00 17/10/2012,         0.0,      1,         9.6,      1,        86.7,      1,         343,      1,         0.7,      1,       996.2,      1,      7763.8,      1
00:00:00 18/10/2012,         0.0,      1,        13.5,      1,        81.1,      1,         341,      1,         0.7,      1,       996.7,      1,     11812.9,      1
00:00:00 19/10/2012,         0.0,      1,        11.2,      1,        87.5,      1,         339,      1,         0.8,      1,       997.1,      1,     12435.9,      1
00:00:00 20/10/2012,         0.2,      1,        10.4,      1,        87.9,      1,         336,      1,         0.8,      1,       995.6,      1,     13193.5,      1
00:00:00 21/10/2012,         0.0,      1,        10.7,      1,        87.7,      1,         324,      1,         0.8,      1,       993.2,      1,     12821.7,      1
00:00:00 22/10/2012,         0.0,      1,        11.5,      1,        87.1,      1,         328,      1,         0.7,      1,       993.2,      1,     12313.2,      1
00:00:00 23/10/2012,         0.2,      1,        11.9,      1,        86.1,      1,         342,      1,         0.8,      1,       993.8,      1,     12152.3,      1
00:00:00 24/10/2012,         0.0,      1,        11.2,      1,        83.3,      1,         344,      1,         0.8,      1,       990.8,      1,     11830.0,      1
00:00:00 25/10/2012,         0.0,      1,        10.4,      1,        86.0,      1,         343,      1,         0.6,      1,       987.1,      1,     11429.8,      1
00:00:00 26/10/2012,         5.0,      1,         9.9,      1,        98.5,      1,         344,      1,         0.4,      1,       980.3,      1,      2259.5,      1
00:00:00 27/10/2012,        21.2,    140,        11.5,      1,        94.0,      1,         342,      1,         1.7,      1,       962.8,      1,      2545.4,      1
00:00:00 28/10/2012,         7.6,      1,         5.9,      1,        76.0,      1,         339,      1,         3.7,      1,       973.1,      1,      1265.3,      1
00:00:00 29/10/2012,         0.2,      1,         6.1,      1,        58.0,      1,         337,      1,         2.5,      1,       982.7,      1,     10396.1,      1
00:00:00 30/10/2012,         0.0,      1,         2.2,      1,        82.0,      1,         334,      1,         0.9,      1,       986.0,      1,     10353.4,      1
00:00:00 31/10/2012,        12.4,      1,         5.6,      1,        76.1,      1,         332,      1,         1.7,      1,       982.1,      1,      4728.0,      1
